AQSID,DataSource,GMTOffset,LocalTimeString,OZONE,OZONE_AQI,OZONE_AQI_LABEL,OZONE_AQI_SORT,OZONE_Measured,OZONE_Unit,SiteName,Status,ValidTime,ObjectId,MonitorType,x,y
181270024,Indiana Dept. of Environmental Management,-6,2024-10-24 15:00:00 GMT-6,40,33,33,33,1,PPB,Ogden Dunes,Active,1729803600000,628372273,Permanent,-9707007.610971255,5103900.650331236
CC0090801,Alberta Environmental Monitoring and Reporting Agency (AEMERA),-7,2024-10-24 14:00:00 GMT-7,,28,28,28,1,,Fort McKay,Active,1729803600000,628372276,Permanent,-12427774.743855538,7798826.603284246
490353010,Utah Department of Environmental Quality,-7,2024-10-24 14:00:00 GMT-7,45,41,41,41,1,PPB,Rose Park,Active,1729803600000,628372284,Permanent,-12460090.792032823,4982224.593979505
CC0040104,Canada-New Brunswick1,-4,2024-10-24 17:00:00 GMT-4,25,24,24,24,1,PPB,FREDERICTON-NEEDHAM ST.,Active,1729803600000,628372286,Permanent,-7418950.025471543,5773516.199309804
360870005,New York Dept. of Environmental Conservation,-5,2024-10-24 16:00:00 GMT-5,30,29,29,29,1,PPB,Rockland Cty,Active,1729803600000,628372292,Permanent,-8240780.5264671985,5039235.484123544
80011G006,Secretaría de Medio Ambiente y Ordenamiento Territorial,-6,2024-10-24 15:00:00 GMT-6,36,32,32,32,1,PPB,Estación Secundaria,Active,1729803600000,628372295,Permanent,-11283885.712726371,2355238.1404729006
390410002,Ohio EPA-DAPC,-5,2024-10-24 16:00:00 GMT-5,34,29,29,29,1,PPB,Delaware,Active,1729803600000,628372296,Permanent,-9246638.954987243,4917912.274603671
471550102,National Park Service,-5,2024-10-24 16:00:00 GMT-5,62,67,67,67,1,PPB,Clingmans Dome - GSMNP,Active,1729803600000,628372297,Permanent,-9294965.974205835,4240629.025881179
170230001,Indiana Dept. of Environmental Management,-6,2024-10-24 15:00:00 GMT-6,41,37,37,37,1,PPB,West Union,Active,1729803600000,628372299,Permanent,-9759190.180753473,4751920.191698437
261530001,"Michigan Department of Environment, Great Lakes, and Energy",-5,2024-10-24 16:00:00 GMT-5,38,31,31,31,1,PPB,SENEY,Active,1729803600000,628372300,Permanent,-9567943.629529102,5826767.133906708
010732003,Jefferson County Department of Health,-6,2024-10-24 15:00:00 GMT-6,69,77,77,77,1,PPB,WYLAM,Active,1729803600000,628372301,Permanent,-9676357.68161267,3961820.169050047
124CC0090134,Alberta Environmental Monitoring and Reporting Agency (AEMERA),-7,2024-10-24 14:00:00 GMT-7,34,28,28,28,1,PPB,AJ Ottewell Community Centre,Active,1729803600000,628372305,Permanent,-12614833.78979474,7082033.107963243
450910008,South Carolina DES,-5,2024-10-24 16:00:00 GMT-5,59,47,47,47,1,PPB,York Landfill,Active,1729803600000,628372316,Permanent,-9039921.888849366,4160755.9750444414
000060104,Ontario Ministry of the Environment,-5,2024-10-24 16:00:00 GMT-5,21,20,20,20,1,PPB,Ottawa Downtown,Active,1729803600000,628372318,Permanent,-8424212.672076862,5690159.472931127
350130021,New Mexico Air Quality Bureau,-7,2024-10-24 14:00:00 GMT-7,32,26,26,26,1,PPB,Desert View,Active,1729803600000,628372319,Permanent,-11864865.47476119,3736575.242511043
420030067,Allegheny County,-5,2024-10-24 16:00:00 GMT-5,37,32,32,32,1,PPB,South Fayette,Active,1729803600000,628372320,Permanent,-8926220.160953116,4921595.282695444
482010046,Texas Commission on Environmental Quality,-6,2024-10-24 15:00:00 GMT-6,68,67,67,67,1,PPB,Houston North Wayside C405,Active,1729803600000,628372321,Permanent,-10606988.624644438,3481472.7833901593
483091037,Texas Commission on Environmental Quality,-6,2024-10-24 15:00:00 GMT-6,46,42,42,42,1,PPB,Waco C1037,Active,1729803600000,628372323,Permanent,-10805849.762997542,3717860.2562049376
011250011,Alabama Department of Environmental Management,-6,2024-10-24 15:00:00 GMT-6,68,74,74,74,1,PPB,Duncanville Middle School,Active,1729803600000,628372324,Permanent,-9738396.813068196,3907970.7842383827
080770020,Colorado Department of Public Health and Environment,-7,2024-10-24 14:00:00 GMT-7,47,39,39,39,1,PPB,Palisade Ozone,Active,1729803600000,628372325,Permanent,-12057448.193833554,4740396.204695842
000101401,Metro Vancouver,-8,2024-10-24 13:00:00 GMT-8,28,22,22,22,1,PPB,Hope,Active,1729803600000,628372326,Permanent,-13525255.792467894,6337829.581174595
000061009,Ontario Ministry of the Environment,-5,2024-10-24 16:00:00 GMT-5,34,28,28,28,1,PPB,Sarnia,Active,1729803600000,628372327,Permanent,-9172207.403858136,5310489.893675437
000053601,Canada-Quebec1,-5,2024-10-24 16:00:00 GMT-5,23,22,22,22,1,PPB,Notre-Dame-du-Rosaire,Active,1729803600000,628372331,Permanent,-7842769.820960344,5917754.747334201
050350005,Arkansas Department of Environmental Quality,-6,2024-10-24 15:00:00 GMT-6,62,51,51,51,1,PPB,MARION,Active,1729803600000,628372332,Permanent,-10040258.647987084,4190706.2394885058
121012001,Florida Dept. of Environmental Protection,-5,2024-10-24 16:00:00 GMT-5,45,39,39,39,1,PPB,Holiday,Active,1729803600000,628372333,Permanent,-9212556.155171577,3273619.039466664
211390003,Kentucky DEP,-6,2024-10-24 15:00:00 GMT-6,48,38,38,38,1,PPB,SMITHLD,Active,1729803600000,628372334,Permanent,-9839874.88163891,4460817.670028095
800090023,Red de Monitoreo de la Calidad del Aire de la Ciudad de Mexico,-6,2024-10-24 15:00:00 GMT-6,,,ND,-999,1,,Camarones,Active,1729803600000,628372345,Permanent,-11039520.506121702,2210160.8039063467
482010029,Texas Commission on Environmental Quality,-6,2024-10-24 15:00:00 GMT-6,76,105,105,105,1,PPB,Northwest Harris Co. C26/C110/C154,Active,1729803600000,628372349,Permanent,-10650369.830206577,3508615.352158124
840081230015,Colorado Department of Public Health and Environment,-7,2024-10-24 14:00:00 GMT-7,,,ND,-999,1,,La Salle Tower,Active,1729803600000,628372361,Permanent,-11655874.37406539,4904004.014484812
124000056001,Canada-Quebec1,-5,2024-10-24 16:00:00 GMT-5,18,19,19,19,1,PPB,Radisson,Active,1729803600000,628372367,Permanent,-8654090.760149697,7112073.078437326
370319991,EPA Office of Atmospheric Protection,-5,2024-10-24 16:00:00 GMT-5,50,44,44,44,1,PPB,Beaufort,Active,1729803600000,628372369,Permanent,-8529332.78042786,4148236.923465017
060530002,Monterey Bay Unified APCD,-8,2024-10-24 13:00:00 GMT-8,49,40,40,40,1,PPB,Carmel Valley AMS,Active,1729803600000,628372375,Permanent,-13551292.308169533,4367130.13068094
000054703,Canada-Quebec1,-5,2024-10-24 16:00:00 GMT-5,30,27,27,27,1,PPB,Bécancour,Active,1729803600000,628372377,Permanent,-8063238.072476423,5836615.465848791
000080211,Saskatchewan Environment,-6,2024-10-24 15:00:00 GMT-6,34,29,29,29,1,PPB,Saskatoon,Active,1729803600000,628372378,Permanent,-11873648.137306817,6824763.427339426
060711001,National Park Service,-8,2024-10-24 13:00:00 GMT-8,,,ND,-999,1,,Mojave NPr,Active,1729803600000,628372380,Permanent,-12888203.623684067,4177737.3118004655
060010013,San Francisco Bay Area AQMD,-8,2024-10-24 13:00:00 GMT-8,,19,19,19,1,,Berkeley Aquatic Park,Active,1729803600000,628372381,Permanent,-13614678.850741621,4560339.500307855
630720970007,Puerto Rico Environmental Quality Board,-4,2024-10-24 17:00:00 GMT-4,,,ND,-999,1,,Mayaguez 59,Active,1729803600000,628372385,Permanent,-7474454.480178523,2062631.708596904
040139702,Maricopa County Air Quality Department,-7,2024-10-24 14:00:00 GMT-7,57,46,46,46,1,PPB,Blue Point Sheriff Sub-station,Active,1729803600000,628372386,Permanent,-12424290.443793708,3967935.8321618806
480290052,Texas Commission on Environmental Quality,-6,2024-10-24 15:00:00 GMT-6,43,36,36,36,1,PPB,Camp Bullis C58,Active,1729803600000,628372387,Permanent,-10972205.832677992,3456359.653234977
040191032,Pima County Department of Environmental Quality,-7,2024-10-24 14:00:00 GMT-7,54,44,44,44,1,PPB,Rose Elementary,Active,1729803600000,628372389,Permanent,-12354203.692390263,3786054.2014328614
181699991,EPA Office of Atmospheric Protection,-5,2024-10-24 16:00:00 GMT-5,39,32,32,32,1,PPB,Salamonie Reservoir,Active,1729803600000,628372391,Permanent,-9535750.032791687,4985239.471403739
TPCD0052T,Thailand Pollution Control Department,7,2024-10-25 04:00:00 GMT+7,,,ND,-999,1,,Thonburi Power Sub-Station,Active,1729803600000,628372394,Permanent,11186113.581323659,1542985.720010338
481410044,Texas Commission on Environmental Quality,-7,2024-10-24 14:00:00 GMT-7,37,27,27,27,1,PPB,Chamizal C41,Active,1729803600000,628372400,Permanent,-11850516.392397936,3732581.160315666
484393009,Texas Commission on Environmental Quality,-6,2024-10-24 15:00:00 GMT-6,44,36,36,36,1,PPB,Grapevine Fairway C70,Active,1729803600000,628372401,Permanent,-10805082.215108521,3893214.9279638254
000100119,Metro Vancouver,-8,2024-10-24 13:00:00 GMT-8,25,22,22,22,1,PPB,Burnaby South,Active,1729803600000,628372402,Permanent,-13690689.914125595,6311469.16459388
BJ1010001,U.S. Department of State China - Beijing,8,2024-10-25 05:00:00 GMT+8,1,7,7,7,1,PPB,Beijing,Active,1729803600000,628372408,Permanent,12964964.535158023,4859165.832966354
010890022,Huntsville Natural Resources and Environmental Management,-6,2024-10-24 15:00:00 GMT-6,,40,40,40,1,,Huntsville Capshaw,Active,1729803600000,628372409,Permanent,-9657644.875210322,4133034.7241805163
TPCD0014T,Thailand Pollution Control Department,7,2024-10-25 04:00:00 GMT+7,,,ND,-999,1,,Highway District,Active,1729803600000,628372419,Permanent,11167083.959650513,1540449.441359355
120310077,City of Jacksonville - Environmental Quality Division,-5,2024-10-24 16:00:00 GMT-5,52,44,44,44,1,PPB,Sheffield Elementary School,Active,1729803600000,628372420,Permanent,-9082212.16340173,3564857.2888810444
240150003,Maryland Department of the Environment,-5,2024-10-24 16:00:00 GMT-5,41,37,37,37,1,PPB,Fair Hill,Active,1729803600000,628372421,Permanent,-8444696.682897223,4822601.395975729
