AQSID,DataSource,GMTOffset,LocalTimeString,OZONE,OZONEPM_AQI,OZONEPM_AQI_LABEL,OZONEPM_AQI_SORT,OZONE_AQI,OZONE_Measured,OZONE_Unit,PM10,PM10_AQI,PM10_Measured,PM10_Unit,PM25,PM25_AQI,PM25_Measured,PM25_Unit,SiteName,Status,ValidTime,ObjectId,MonitorType,x,y
040030011,Arizona Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,,6,6,6,,0,,7,6,1,UG/M3,,,0,,Paul Spur Chemical Lime Plant,Active,1731103200000,632818531,Permanent,-12215187.912287623,3680346.914732914
040031005,Arizona Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,,7,7,7,,0,,8,7,1,UG/M3,,,0,,Douglas Red Cross,Active,1731103200000,632818532,Permanent,-12193901.733216604,3678182.933671701
040038001,National Park Service,-7,2024-11-08 15:00:00 GMT-7,45,39,39,39,39,1,PPB,,,0,,,,0,,Chiricahua NM,Active,1731103200000,632818533,Permanent,-12177149.81964458,3764518.461979946
040058001,National Park Service,-7,2024-11-08 15:00:00 GMT-7,41,38,38,38,38,1,PPB,,,0,,,,0,,Grand Canyon NP,Active,1731103200000,632818535,Permanent,-12484825.98288709,4308191.928664909
040070008,Arizona Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,,,ND,-999,,0,,,,1,,,,0,,Payson Well Site,Active,1731103200000,632818536,Permanent,-12393165.514167909,4059638.513434816
040070010,Arizona Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,38,33,33,33,33,1,PPB,,,0,,,,0,,Tonto National Monument,Active,1731103200000,632818538,Permanent,-12368419.859281508,3982533.7198324
040071001,Arizona Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,,0,0,0,,0,,0,0,1,UG/M3,,,0,,Hayden,Active,1731103200000,632818541,Permanent,-12332694.98565715,3896135.9651152045
040078000,Arizona Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,,4,4,4,,0,,,4,1,,,,0,,Miami Golf Course,Active,1731103200000,632818542,Permanent,-12337502.095228076,3951054.451415885
040128000,Arizona Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,43,37,37,37,37,1,PPB,5,6,1,UG/M3,1.8,11,1,UG/M3,Alamo Lake,Active,1731103200000,632818562,Permanent,-12641286.751711436,4061597.5623391345
040130019,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,42,33,33,33,33,1,PPB,7,12,1,UG/M3,1.5,21,1,UG/M3,West Phoenix,Active,1731103200000,632818563,Permanent,-12483657.239553252,3959697.669166794
040131003,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,36,27,27,27,27,1,PPB,6,6,1,UG/M3,2.3,13,1,UG/M3,Mesa - Brooks Reservoir,Active,1731103200000,632818564,Permanent,-12452765.969538627,3949918.5927315895
040131004,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,40,34,34,34,34,1,PPB,9,7,1,UG/M3,2.2,12,1,UG/M3,North Phoenix,Active,1731103200000,632818565,Permanent,-12475163.339766743,3969912.6318187304
040131010,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,40,32,32,32,32,1,PPB,,,0,,,,0,,Falcon Field Fire Station,Active,1731103200000,632818566,Permanent,-12438071.796753913,3955480.9223953662
040131030,Quality Review and Exchange System for Tribes (QREST),-7,2024-11-08 15:00:00 GMT-7,36,32,32,32,32,1,PPB,3,4,1,UG/M3,,,0,,Ft McD Yuma Frank-AZ,Active,1731103200000,632818568,Permanent,-12431815.975329805,3979120.6551052406
040132001,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,42,34,34,34,34,1,PPB,11,15,1,UG/M3,4.6,29,1,UG/M3,Glendale Community College,Active,1731103200000,632818569,Permanent,-12489100.651333552,3971128.48038483
040132005,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,41,35,35,35,35,1,PPB,,,0,,,,0,,Pinnacle Peak Club House,Active,1731103200000,632818570,Permanent,-12451385.496533299,3990235.9226046805
040133002,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,37,30,30,30,30,1,PPB,27,21,1,UG/M3,,,0,,Central Phoenix,Active,1731103200000,632818572,Permanent,-12472903.665423132,3956241.448551388
040133003,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,40,34,34,34,34,1,PPB,11,10,1,UG/M3,,,0,,South Scottsdale,Active,1731103200000,632818573,Permanent,-12458565.715008955,3959150.588952363
040134003,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,42,33,33,33,33,1,PPB,,,1,,,,1,,South Phoenix,Active,1731103200000,632818576,Permanent,-12475920.423623627,3948958.4609208326
040134004,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,43,35,35,35,35,1,PPB,15,15,1,UG/M3,,,0,,West Chandler Fire Station,Active,1731103200000,632818577,Permanent,-12454903.303761857,3935058.794892895
040134005,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,40,33,33,33,33,1,PPB,5,,1,UG/M3,-1,,1,UG/M3,Tempe,Active,1731103200000,632818578,Permanent,-12460513.806097839,3950171.9741200833
040134006,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,,24,24,24,,0,,27,24,1,UG/M3,,,0,,Higley,Active,1731103200000,632818579,Permanent,-12436616.739689756,3936516.4788463605
040134008,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,42,37,37,37,37,1,PPB,,,0,,,,0,,Cave Creek,Active,1731103200000,632818580,Permanent,-12469719.927986443,4004885.7453916403
040134009,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,,22,22,22,,0,,17,22,1,UG/M3,,,0,,West 43rd,Active,1731103200000,632818581,Permanent,-12483846.59400709,3949371.7078999435
040134010,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,38,31,31,31,31,1,PPB,24,25,1,UG/M3,,,0,,Dysart,Active,1731103200000,632818582,Permanent,-12505564.804021876,3980150.1508247205
040134011,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,42,34,34,34,34,1,PPB,15,18,1,UG/M3,,,0,,Buckeye,Active,1731103200000,632818583,Permanent,-12536878.976782024,3944518.8857931644
040134016,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,,26,26,26,,0,,27,26,1,UG/M3,,,0,,Zuni Hills,Active,1731103200000,632818584,Permanent,-12500529.489494825,3986816.157477316
040134021,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,,21,21,21,,0,,,,0,,3.8,21,1,UG/M3,Eastwood,Active,1731103200000,632818587,Permanent,-12468077.074941315,3949913.2584461397
040137020,Salt River Pima-Maricopa Indian Community,-7,2024-11-08 15:00:00 GMT-7,,12,12,12,,0,,12,12,1,UG/M3,,,0,,Senior Center,Active,1731103200000,632818589,Permanent,-12451641.976640087,3960298.4328387305
040137021,Salt River Pima-Maricopa Indian Community,-7,2024-11-08 15:00:00 GMT-7,39,34,34,34,34,1,PPB,,,0,,,,0,,Red Mountain,Active,1731103200000,632818590,Permanent,-12440465.277125461,3962914.8751554424
040137022,Salt River Pima-Maricopa Indian Community,-7,2024-11-08 15:00:00 GMT-7,40,33,33,33,33,1,PPB,13,11,1,UG/M3,,,0,,LEHI,Active,1731103200000,632818591,Permanent,-12446086.68877154,3958456.4656358664
040137024,Salt River Pima-Maricopa Indian Community,-7,2024-11-08 15:00:00 GMT-7,38,31,31,31,31,1,PPB,,,1,,,,0,,High School,Active,1731103200000,632818592,Permanent,-12449726.83612048,3962928.092362829
040139508,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,40,35,35,35,35,1,PPB,,,0,,,,0,,Humboldt Mountain - Tonto N.F.,Active,1731103200000,632818594,Permanent,-12445374.355349954,4026492.720125576
040139702,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,45,38,38,38,38,1,PPB,,,0,,,,0,,Blue Point Sheriff Sub-station,Active,1731103200000,632818595,Permanent,-12424290.443793708,3967935.8321618806
040139704,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,42,34,34,34,34,1,PPB,,,0,,,,0,,Fountain Hills,Active,1731103200000,632818596,Permanent,-12437203.504725728,3976687.6673213984
040139812,Maricopa County Air Quality Department,-7,2024-11-08 15:00:00 GMT-7,,28,28,28,,0,,17,19,1,UG/M3,4.8,28,1,UG/M3,Durango Complex,Active,1731103200000,632818598,Permanent,-12480929.800709326,3952052.503976305
040139997,Arizona Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,40,35,35,35,35,1,PPB,23,21,1,UG/M3,4.7,26,1,UG/M3,Phoenix JLG Supersite,Active,1731103200000,632818599,Permanent,-12478358.431791492,3962340.942521006
040151003,Arizona Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,,,ND,-999,,0,,,,1,,,,0,,Bullhead City,Active,1731103200000,632818600,Permanent,-12753441.138685659,4186477.9409814607
040170119,National Park Service,-7,2024-11-08 15:00:00 GMT-7,,,ND,-999,,1,,,,0,,,,0,,Petrified Forest NP,Active,1731103200000,632818601,Permanent,-12233110.23898585,4139785.418012358
040190001,Arizona Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,,,ND,-999,,0,,,,1,,,,0,,Ajo,Active,1731103200000,632818602,Permanent,-12563234.088866312,3813563.6607984398
040190011,Pima County Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,,25,25,25,,0,,15,13,1,UG/M3,5,25,1,UG/M3,Orange Grove,Active,1731103200000,632818604,Permanent,-12360661.224731691,3805728.22644108
040190020,Arizona Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,,21,21,21,,0,,11,21,1,UG/M3,,,0,,Rillito,Active,1731103200000,632818605,Permanent,-12373667.237438522,3817823.1882959786
040190021,Pima County Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,43,38,38,38,38,1,PPB,,,0,,,,0,,Saguaro National Park,Active,1731103200000,632818606,Permanent,-12327275.50756737,3786488.2068702336
040191001,Pima County Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,,7,7,7,,0,,16,7,1,UG/M3,,,0,,South Tucson,Active,1731103200000,632818607,Permanent,-12352891.792191265,3789875.041694789
040191011,Pima County Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,40,35,35,35,35,1,PPB,,,0,,,,0,,22nd Street & Craycroft,Active,1731103200000,632818608,Permanent,-12342793.444583952,3790250.2464031866
040191018,Pima County Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,35,31,31,31,31,1,PPB,,,0,,,,0,,Tangerine & Camino de Oeste,Active,1731103200000,632818609,Permanent,-12363910.751987437,3819268.2511482965
040191020,Pima County Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,43,37,37,37,37,1,PPB,,,0,,,,0,,Fairgrounds,Active,1731103200000,632818610,Permanent,-12331294.141185006,3769547.356547104
040191028,Pima County Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,39,34,34,34,34,1,PPB,,,0,,2,4,1,UG/M3,Children's Park Site,Active,1731103200000,632818611,Permanent,-12354481.991117246,3802136.0662069893
040191030,Pima County Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,43,36,36,36,36,1,PPB,3,2,1,UG/M3,-2,0,1,UG/M3,Green Valley,Active,1731103200000,632818612,Permanent,-12356062.72788651,3747490.393049184
040191032,Pima County Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,40,32,32,32,32,1,PPB,,,0,,-2.8,0,1,UG/M3,Rose Elementary,Active,1731103200000,632818613,Permanent,-12354203.692390263,3786054.2014328614
040191034,Pima County Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,34,32,32,32,32,1,PPB,,,0,,1,11,1,UG/M3,Coachline,Active,1731103200000,632818614,Permanent,-12370623.31728227,3813374.635744818
040191113,Pima County Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,,24,24,24,,0,,7,7,1,UG/M3,4,24,1,UG/M3,Geronimo,Active,1731103200000,632818615,Permanent,-12352756.539009951,3796171.935018617
040210001,Pinal County Air Quality Control District,-7,2024-11-08 15:00:00 GMT-7,,39,39,39,,0,,12,12,1,UG/M3,5,39,1,UG/M3,Casa Grande Downtown,Active,1731103200000,632818628,Permanent,-12440200.448056864,3879066.4040611503
040213001,Pinal County Air Quality Control District,-7,2024-11-08 15:00:00 GMT-7,41,32,32,32,32,1,PPB,,,0,,,,0,,AJ Maintenance Yard,Active,1731103200000,632818630,Permanent,-12416976.307970626,3951373.0773170856
040213002,Pinal County Air Quality Control District,-7,2024-11-08 15:00:00 GMT-7,,15,15,15,,0,,8,8,1,UG/M3,4.1,15,1,UG/M3,Apache Junction,Active,1731103200000,632818631,Permanent,-12412590.765311334,3951185.5551098883
040213003,Pinal County Air Quality Control District,-7,2024-11-08 15:00:00 GMT-7,41,34,34,34,34,1,PPB,,,0,,,,0,,C GRANDE,Active,1731103200000,632818632,Permanent,-12441311.193936,3889252.889029868
040213007,Pinal County Air Quality Control District,-7,2024-11-08 15:00:00 GMT-7,40,28,28,28,28,1,PPB,4,4,1,UG/M3,,,0,,Pinal Air Park,Active,1731103200000,632818633,Permanent,-12390756.560387142,3830220.463104968
040213008,Pinal County Air Quality Control District,-7,2024-11-08 15:00:00 GMT-7,,11,11,11,,0,,11,11,1,UG/M3,,,0,,Stanfield,Active,1731103200000,632818634,Permanent,-12463552.605557512,3879545.183199556
040213009,Pinal County Air Quality Control District,-7,2024-11-08 15:00:00 GMT-7,,9,9,9,,0,,7,9,1,UG/M3,,,0,,COMBS,Active,1731103200000,632818635,Permanent,-12418891.448490234,3924435.371478798
040213011,Pinal County Air Quality Control District,-7,2024-11-08 15:00:00 GMT-7,,8,8,8,,0,,10,8,1,UG/M3,,,0,,Pinal County Housing,Active,1731103200000,632818637,Permanent,-12419971.5815094,3880852.3814214044
040213014,Pinal County Air Quality Control District,-7,2024-11-08 15:00:00 GMT-7,,8,8,8,,0,,9,8,1,UG/M3,,,0,,Eloy,Active,1731103200000,632818638,Permanent,-12418230.322034413,3863178.602380091
040213015,Pinal County Air Quality Control District,-7,2024-11-08 15:00:00 GMT-7,,15,15,15,,0,,,,1,,2.5,15,1,UG/M3,Hidden Valley,Active,1731103200000,632818639,Permanent,-12471907.35598053,3880017.8840705585
040213016,Pinal County Air Quality Control District,-7,2024-11-08 15:00:00 GMT-7,,11,11,11,,0,,9,11,1,UG/M3,,,0,,Maricopa,Active,1731103200000,632818640,Permanent,-12473576.035147522,3903423.41876923
040218001,Arizona Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,42,38,38,38,38,1,PPB,,,0,,,,0,,Queen Valley,Active,1731103200000,632818643,Permanent,-12389057.936277129,3933780.008985566
040230004,Arizona Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,,6,6,6,,0,,7,6,1,UG/M3,,,1,,Nogales Post Office,Active,1731103200000,632818649,Permanent,-12349419.40331495,3676619.3691817843
040258034,Arizona Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,48,41,41,41,41,1,PPB,,,0,,,,0,,Prescott Pioneer Park,Active,1731103200000,632818651,Permanent,-12519347.270176994,4111284.472248352
040278011,Arizona Department of Environmental Quality,-7,2024-11-08 15:00:00 GMT-7,42,57,57,57,36,1,PPB,76,57,1,UG/M3,5.8,30,1,UG/M3,Yuma Supersite,Active,1731103200000,632818652,Permanent,-12758821.209675696,3854265.206765975
050199991,EPA Office of Atmospheric Protection,-6,2024-11-08 16:00:00 GMT-6,15,13,13,13,13,1,PPB,,,0,,,,0,,Caddo Valley,Active,1731103200000,632818790,Permanent,-10363711.009464817,4052930.0320196147
050350005,Arkansas Department of Environmental Quality,-6,2024-11-08 16:00:00 GMT-6,,16,16,16,16,1,,,,0,,,,1,,MARION,Active,1731103200000,632818791,Permanent,-10040258.647987084,4190706.2394885058
051010002,Arkansas Department of Environmental Quality,-6,2024-11-08 16:00:00 GMT-6,,27,27,27,27,1,,,,0,,,,0,,DEER,Active,1731103200000,632818792,Permanent,-10375876.114738198,4277618.635768812
051130003,Arkansas Department of Environmental Quality,-6,2024-11-08 16:00:00 GMT-6,16,15,15,15,15,1,PPB,,,0,,,,0,,EAGLEMT,Active,1731103200000,632818793,Permanent,-10479988.670378024,4089986.533094588
051190007,Arkansas Department of Environmental Quality,-6,2024-11-08 16:00:00 GMT-6,11,51,51,51,12,1,PPB,,,0,,9.8,51,1,UG/M3,PARR,Active,1731103200000,632818794,Permanent,-10272677.714756766,4130779.617348878
051191002,Arkansas Department of Environmental Quality,-6,2024-11-08 16:00:00 GMT-6,,23,23,23,23,1,,,,0,,,,0,,NLRAP,Active,1731103200000,632818795,Permanent,-10270386.982275221,4141562.630206196
051191008,Arkansas Department of Environmental Quality,-6,2024-11-08 16:00:00 GMT-6,,41,41,41,,0,,,,0,,8.4,41,1,UG/M3,ADEQ-DSR,Active,1731103200000,632818796,Permanent,-10277961.71702625,4120635.495289811
051390006,Arkansas Department of Environmental Quality,-6,2024-11-08 16:00:00 GMT-6,,,ND,-999,,0,,,,0,,,,1,,El Dorado,Active,1731103200000,632818797,Permanent,-10316209.75822893,3924595.4495870904
051430005,Arkansas Department of Environmental Quality,-6,2024-11-08 16:00:00 GMT-6,32,38,38,38,30,1,PPB,,,0,,8.3,38,1,UG/M3,SPRNGDLE,Active,1731103200000,632818798,Permanent,-10477015.326778935,4325376.760038809
051430006,Arkansas Department of Environmental Quality,-6,2024-11-08 16:00:00 GMT-6,30,28,28,28,28,1,PPB,,,0,,,,0,,Fayetteville,Active,1731103200000,632818799,Permanent,-10482677.14740017,4302227.26488303
051YER010001,U.S. Department of State Armenia - Yerevan,4,2024-11-09 02:00:00 GMT+4,,,ND,-999,,0,,,,0,,,,1,,Yerevan,Active,1731103200000,632818800,Permanent,4951681.306814065,4889970.53017087
060010009,San Francisco Bay Area AQMD,-8,2024-11-08 14:00:00 GMT-8,41,42,42,42,37,1,PPB,,,0,,7,42,1,UG/M3,Oakland,Active,1731103200000,632818802,Permanent,-13599891.837501587,4543192.265503381
060010011,San Francisco Bay Area AQMD,-8,2024-11-08 14:00:00 GMT-8,39,53,53,53,32,1,PPB,,,0,,11,53,1,UG/M3,Oakland West,Active,1731103200000,632818803,Permanent,-13612414.723618379,4553296.19856965
060010012,San Francisco Bay Area AQMD,-8,2024-11-08 14:00:00 GMT-8,,52,52,52,,0,,,,0,,8,52,1,UG/M3,Laney College,Active,1731103200000,632818804,Permanent,-13610296.758986544,4550312.687785689
060010013,San Francisco Bay Area AQMD,-8,2024-11-08 14:00:00 GMT-8,,,ND,-999,,1,,,,0,,,,1,,Berkeley Aquatic Park,Active,1731103200000,632818805,Permanent,-13614678.850741621,4560339.500307855
060010015,San Francisco Bay Area AQMD,-8,2024-11-08 14:00:00 GMT-8,,28,28,28,,0,,,,0,,5,28,1,UG/M3,Pleasanton - Owens Ct.,Active,1731103200000,632818806,Permanent,-13570182.001242753,4537304.05811799
060012001,San Francisco Bay Area AQMD,-8,2024-11-08 14:00:00 GMT-8,,38,38,38,38,1,,,,0,,,,0,,Hayward,Active,1731103200000,632818808,Permanent,-13584506.704637522,4530760.68995326
060050002,California Air Resources Board,-8,2024-11-08 14:00:00 GMT-8,51,43,43,43,43,1,PPB,,,0,,,,0,,Jackson - Clinton,Active,1731103200000,632818811,Permanent,-13443434.40826197,4627938.247716559
060070007,California Air Resources Board,-8,2024-11-08 14:00:00 GMT-8,,,ND,-999,,1,,,,0,,,,0,,Paradise - Airport,Active,1731103200000,632818813,Permanent,-13538376.909528209,4823665.617451774
060070008,California Air Resources Board,-8,2024-11-08 14:00:00 GMT-8,53,43,43,43,40,1,PPB,,30,1,,,43,1,,Chico -  East,Active,1731103200000,632818814,Permanent,-13563219.078413125,4831370.463379817
060072001,Butte County Air Quality Management District,-8,2024-11-08 14:00:00 GMT-8,,,ND,-999,,0,,,,0,,,,1,,Paradise - Birch Street,Active,1731103200000,632818815,Permanent,-13539166.276037421,4830243.881089923
060074001,California Air Resources Board,-8,2024-11-08 14:00:00 GMT-8,,47,47,47,,0,,,,0,,8,47,1,UG/M3,Gridley,Active,1731103200000,632818817,Permanent,-13544109.97462355,4768700.934731859
060090001,California Air Resources Board,-8,2024-11-08 14:00:00 GMT-8,52,64,64,64,43,1,PPB,42,40,1,UG/M3,12,64,1,UG/M3,San Andreas,Active,1731103200000,632818818,Permanent,-13434066.984431203,4607979.821708577
060110007,Quality Review and Exchange System for Tribes (QREST),-8,2024-11-08 14:00:00 GMT-8,,,ND,-999,,0,,,,0,,,,1,,Cortina Rancheria,Active,1731103200000,632818819,Permanent,-13612827.607609732,4723820.421686475
060111002,California Air Resources Board,-8,2024-11-08 14:00:00 GMT-8,51,53,53,53,38,1,PPB,43,34,1,UG/M3,9.1,53,1,UG/M3,Colusa - Sunrise Blvd.,Active,1731103200000,632818820,Permanent,-13580852.08575478,4748807.761992185
060130002,San Francisco Bay Area AQMD,-8,2024-11-08 14:00:00 GMT-8,41,36,36,36,31,1,PPB,,,0,,6,36,1,UG/M3,Concord,Active,1731103200000,632818821,Permanent,-13583760.86404921,4570713.335082745
060131002,San Francisco Bay Area AQMD,-8,2024-11-08 14:00:00 GMT-8,,,ND,-999,,1,,,,0,,,,0,,Bethel Island,Active,1731103200000,632818824,Permanent,-13541116.370877141,4580317.383873926
060131004,San Francisco Bay Area AQMD,-8,2024-11-08 14:00:00 GMT-8,,46,46,46,22,1,,,,0,,,46,1,,San Pablo - Rumrill,Active,1731103200000,632818825,Permanent,-13620730.066941654,4573833.17038721
060132007,San Francisco Bay Area AQMD,-8,2024-11-08 14:00:00 GMT-8,42,34,34,34,34,1,PPB,,,0,,,,0,,San Ramon,Active,1731103200000,632818826,Permanent,-13573651.718451291,4543275.041330776
060170011,California Air Resources Board,-8,2024-11-08 14:00:00 GMT-8,,9,9,9,,0,,9,9,1,UG/M3,,,0,,South Lake Tahoe - Sandy Way,Active,1731103200000,632818828,Permanent,-13355067.215358412,4713793.491138688
060170012,California Air Resources Board,-8,2024-11-08 14:00:00 GMT-8,,,ND,-999,,1,,,,0,,,,0,,Echo Summit (seasonal) - SLT695,Active,1731103200000,632818829,Permanent,-13362021.343948271,4694722.134767973
060170020,California Air Resources Board,-8,2024-11-08 14:00:00 GMT-8,,,ND,-999,,1,,,,0,,,,0,,Cool (Seasonal),Active,1731103200000,632818830,Permanent,-13470033.532670075,4706061.681294721
060190007,San Joaquin Valley Unified APCD,-8,2024-11-08 14:00:00 GMT-8,46,63,63,63,36,1,PPB,76,63,1,UG/M3,,,0,,Fresno - Drummond Street,Active,1731103200000,632818831,Permanent,-13329551.674873687,4398150.283493992
060190011,California Air Resources Board,-8,2024-11-08 14:00:00 GMT-8,37,55,55,55,30,1,PPB,61,55,1,UG/M3,11.3,55,1,UG/M3,Fresno - Garland,Active,1731103200000,632818833,Permanent,-13333092.747875823,4409233.598657985
060190242,San Joaquin Valley Unified APCD,-8,2024-11-08 14:00:00 GMT-8,48,38,38,38,38,1,PPB,,,0,,,,0,,Fresno - Sierra Skypark #2,Active,1731103200000,632818834,Permanent,-13344357.167149192,4417022.988766166
060192008,San Joaquin Valley Unified APCD,-8,2024-11-08 14:00:00 GMT-8,,42,42,42,,0,,,,0,,8,42,1,UG/M3,Huron,Active,1731103200000,632818835,Permanent,-13369370.656730443,4328093.306124236
060192009,San Joaquin Valley Unified APCD,-8,2024-11-08 14:00:00 GMT-8,48,53,53,53,39,1,PPB,,,0,,12,53,1,UG/M3,Tranquillity,Active,1731103200000,632818836,Permanent,-13400885.204574017,4387991.201905726
060192016,San Joaquin Valley Unified APCD,-8,2024-11-08 14:00:00 GMT-8,,58,58,58,,0,,,,0,,12,58,1,UG/M3,Fresno-Foundry Park,Active,1731103200000,632818837,Permanent,-13333562.516126968,4398883.443618567
060194001,San Joaquin Valley Unified APCD,-8,2024-11-08 14:00:00 GMT-8,50,42,42,42,42,1,PPB,,,0,,,,0,,Parlier,Active,1731103200000,632818839,Permanent,-13303079.899963047,4383150.994008643
060195001,San Joaquin Valley Unified APCD,-8,2024-11-08 14:00:00 GMT-8,49,60,60,60,42,1,PPB,77,60,1,UG/M3,11.6,55,1,UG/M3,Clovis - N. Villa Ave,Active,1731103200000,632818840,Permanent,-13326768.687603856,4413935.33341945
060210003,California Air Resources Board,-8,2024-11-08 14:00:00 GMT-8,52,47,47,47,40,1,PPB,40,36,1,UG/M3,8,47,1,UG/M3,Willows-Colusa,Active,1731103200000,632818842,Permanent,-13602221.420485418,4798434.952854698
060231004,North Coast Unified Air Quality Management District,-8,2024-11-08 14:00:00 GMT-8,,35,35,35,,0,,22,35,1,UG/M3,,,0,,Jacobs,Active,1731103200000,632818843,Permanent,-13823375.845342746,4979496.2707980685
060250005,California Air Resources Board,-8,2024-11-08 14:00:00 GMT-8,42,37,37,37,37,1,PPB,16,19,1,UG/M3,-1.7,0,1,UG/M3,Calexico - Ethel Street,Active,1731103200000,632818844,Permanent,-12855516.547643967,3852400.7314373204
060250007,Imperial County Air Pollution Control District,-8,2024-11-08 14:00:00 GMT-8,,18,18,18,,0,,16,18,1,UG/M3,2.6,17,1,UG/M3,Brawley - 220 Main Street,Active,1731103200000,632818846,Permanent,-12861664.72312048,3892423.740019503
060251003,Imperial County Air Pollution Control District,-8,2024-11-08 14:00:00 GMT-8,,14,14,14,,1,,16,14,1,UG/M3,3,9,1,UG/M3,El Centro - 9th Street,Active,1731103200000,632818847,Permanent,-12864269.599205041,3867688.1482550725
060254003,Imperial County Air Pollution Control District,-8,2024-11-08 14:00:00 GMT-8,45,36,36,36,36,1,PPB,6,14,1,UG/M3,,,0,,Westmorland - 570 Cook St,Active,1731103200000,632818848,Permanent,-12871037.824245272,3899618.5897767395
