id,url,visibility,opacity,title,itemId,type,layerType,visibleFolders
kml_1740,https://s3-us-west-1.amazonaws.com//files.airnowtech.org/airnow/today/airnow_today.kml,False,1,Air Now Forecast - Today's Forecast for Cities,bb20ac3ab2814fcdba72754fd17e3d94,KML,KML,"[0, 1]"
kml_3224,https://s3-us-west-1.amazonaws.com//files.airnowtech.org/airnow/today/airnow_tomorrow.kml,False,1,Air Now Forecast-  Tomorrow's Forecast for Cities,46e7c08ac80245188a96a079303682b0,KML,KML,"[0, 1]"
USA_Counties_9194,https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/USA_Counties/FeatureServer/0,True,1,USA Counties,48f9af87daa241c4b267c5931ad3b226,,ArcGISFeatureLayer,
NPS_Park_Unit_Boundaries_7457,https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/USA_National_Park_Service_Lands_20170930/FeatureServer/0,False,0.8,USA National Park Service Lands,5ebb85755b864aefa150c012c82f6624,,ArcGISFeatureLayer,
tribal_883,https://geopub.epa.gov/arcgis/rest/services/EMEF/tribal/MapServer/3,False,0.75,EPA Tribal Areas (4 of 4):  Alaska Native Allotments,,,ArcGISFeatureLayer,
tribal_3341,https://geopub.epa.gov/arcgis/rest/services/EMEF/tribal/MapServer/2,False,0.75,EPA Tribal Areas (3 of 4):  Alaska Reservations,,,ArcGISFeatureLayer,
tribal_7542,https://geopub.epa.gov/arcgis/rest/services/EMEF/tribal/MapServer/1,False,0.75,EPA Tribal Areas (2 of 4):  Alaska Native Villages,,,ArcGISFeatureLayer,
tribal_590,https://geopub.epa.gov/arcgis/rest/services/EMEF/tribal/MapServer/4,False,0.75,EPA Tribal Areas (1 of 4): Lower 48 States,,,ArcGISFeatureLayer,
AirNowNationalAQI_4100,https://services.arcgis.com/cJ9YHowT8TU7DUyn/ArcGIS/rest/services/AirNowAQIForecast/FeatureServer/1,False,0.75,Tomorrow's AQI Forecast,,,ArcGISFeatureLayer,
AirNowNationalAQI_2760,https://services.arcgis.com/cJ9YHowT8TU7DUyn/ArcGIS/rest/services/AirNowAQIForecast/FeatureServer/0,False,0.75,Today's AQI Forecast,,,ArcGISFeatureLayer,
AirNow24Hr_9830,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/AirNow24HrPM25/FeatureServer/0,False,0.75,PM2.5,e759153245c34ac1801890b005c2e46a,,ArcGISFeatureLayer,
AirNow24Hr_3589,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/AirNow24HrOzone/FeatureServer/0,False,0.75,Ozone,e759153245c34ac1801890b005c2e46a,,ArcGISFeatureLayer,
